Date,Close,High,Low,Open,Volume
2020-01-02,72.53849792480469,72.59887623049032,71.29228881100529,71.54587474672552,135480400
2020-01-03,71.83329010009766,72.59405542623057,71.60868452797844,71.76566667933918,146322800
2020-01-06,72.40567016601562,72.4443131708714,70.70300468370534,70.95418053006813,118387200
2020-01-07,72.06515502929688,72.67134838279743,71.84537704823941,72.41534488187352,108872000
2020-01-08,73.22442626953125,73.52631792855652,71.76810120120939,71.76810120120939,132079200
2020-01-09,74.77976989746094,74.97297760387046,73.95138098488776,74.20254952913984,170108400
2020-01-10,74.9488296508789,75.51397733804309,74.44648515944657,75.01404296807587,140644800
2020-01-13,76.55004119873047,76.57661149006776,75.1468497409281,75.26519625077637,121532000
2020-01-14,75.516357421875,76.69736069243768,75.39319068247579,76.48724535482815,161954400
2020-01-15,75.19275665283203,76.19745295500711,74.76044574351113,75.31593080536074,121923600
2020-01-16,76.13465118408203,76.24575261001203,75.37388575466262,75.73615570871007,108829200
2020-01-17,76.9775161743164,76.97992629479913,76.07666915290817,76.3833883085302,137816400
2020-01-21,76.45585632324219,77.04755940221253,76.31819199284013,76.60559336877427,110843200
2020-01-22,76.72875213623047,77.28181209753438,76.63455844362853,76.94127757646339,101832400
2020-01-23,77.09828186035156,77.17797799443389,76.23366024847726,76.78190007438859,104472000
2020-01-24,76.87609100341797,78.08848500678306,76.68529344990502,77.34462735281411,146537600
2020-01-27,74.61552429199219,75.29658608064733,73.63256355928529,74.8836004716033,161940000
2020-01-28,76.72634887695312,76.89782122944564,75.39802593452413,75.49704725649863,162234000
2020-01-29,78.33242797851562,79.1801420756795,77.61755062731045,78.35899827586796,216229200
2020-01-30,78.2188949584961,78.27202816821715,76.98234829996913,77.41465908040864,126743200
2020-01-31,74.75077819824219,77.93150399168975,74.4561316996704,77.50885574859744,199588400
2020-02-03,74.54549407958984,75.71200004458515,72.99014787932889,73.49249228699044,173788400
2020-02-04,77.00650024414062,77.19729777289353,75.7458008005722,76.15154128644726,136616400
